time,open,high,low,close,volume,oi,funding
1774460700000.0,70883.3,70948.6,70851.1,70861.9,232.075,87060.566,-1.374e-05
1774461000000.0,70862.0,70894.2,70708.6,70764.4,761.71,87060.566,-1.374e-05
1774461300000.0,70764.3,70811.2,70676.8,70752.6,757.384,87060.566,-1.374e-05
1774461600000.0,70752.6,70847.7,70720.0,70816.8,731.154,87060.566,-1.374e-05
1774461900000.0,70816.8,70918.5,70808.3,70838.8,957.802,87060.566,-1.374e-05
1774462200000.0,70838.7,70900.0,70827.3,70893.3,369.935,87060.566,-1.374e-05
1774462500000.0,70893.2,71037.8,70893.2,70956.7,745.22,87060.566,-1.374e-05
1774462800000.0,70956.7,71121.3,70956.6,71064.4,579.87,87060.566,-1.374e-05
1774463100000.0,71064.4,71064.4,70925.9,70935.3,309.129,87060.566,-1.374e-05
1774463400000.0,70935.3,70979.3,70866.8,70892.4,370.743,87060.566,-1.374e-05
1774463700000.0,70892.4,70925.4,70802.7,70835.0,298.095,87060.566,-1.374e-05
1774464000000.0,70835.1,70837.2,70762.2,70815.8,282.693,87060.566,-1.374e-05
1774464300000.0,70815.7,70901.4,70808.4,70873.1,186.789,87060.566,-1.374e-05
1774464600000.0,70873.1,70946.3,70873.1,70946.2,253.903,87060.566,-1.374e-05
1774464900000.0,70946.3,70946.3,70623.4,70786.8,856.943,87060.566,-1.374e-05
1774465200000.0,70786.8,70973.9,70745.3,70973.9,564.985,87060.566,-1.374e-05
1774465500000.0,70973.9,70984.5,70823.8,70849.8,307.927,87060.566,-1.374e-05
1774465800000.0,70849.8,70861.9,70741.8,70820.3,278.198,87060.566,-1.374e-05
1774466100000.0,70820.3,70865.6,70791.4,70861.0,155.662,87060.566,-1.374e-05
1774466400000.0,70861.0,70960.5,70850.0,70936.7,239.025,87060.566,-1.374e-05
1774466700000.0,70936.7,70941.7,70854.0,70928.2,204.609,87060.566,-1.374e-05
1774467000000.0,70928.0,70936.0,70834.5,70898.3,109.33,87060.566,-1.374e-05
1774467300000.0,70898.3,71023.6,70850.0,71014.8,215.969,87060.566,-1.374e-05
1774467600000.0,71014.8,71082.3,70903.0,70912.0,268.905,87060.566,-1.374e-05
1774467900000.0,70912.0,70932.4,70851.3,70910.8,163.686,87060.566,-1.374e-05
1774468200000.0,70910.9,70967.6,70851.8,70866.3,221.219,87060.566,-1.374e-05
1774468500000.0,70866.3,70872.9,70741.8,70853.2,419.695,87060.566,-1.374e-05
1774468800000.0,70853.3,70879.9,70713.1,70721.8,303.651,87060.566,-1.374e-05
1774469100000.0,70721.8,70764.5,70649.9,70681.1,776.081,87060.566,-1.374e-05
1774469400000.0,70681.1,70748.1,70648.0,70715.0,493.929,87060.566,-1.374e-05
1774469700000.0,70714.9,70781.9,70714.9,70773.8,125.311,87060.566,-1.374e-05
