time,open,high,low,close,volume,oi,funding
1774460700000.0,0.09644,0.09657,0.09641,0.0965,7966459.0,1749779529.0,-0.00011245
1774461000000.0,0.0965,0.09652,0.09613,0.09614,20636764.0,1749779529.0,-0.00011245
1774461300000.0,0.09613,0.09622,0.09605,0.09616,10219597.0,1749779529.0,-0.00011245
1774461600000.0,0.09616,0.09618,0.09595,0.09608,15751464.0,1749779529.0,-0.00011245
1774461900000.0,0.09608,0.09622,0.09601,0.09603,10102858.0,1749779529.0,-0.00011245
1774462200000.0,0.09603,0.09617,0.09602,0.09612,8820426.0,1749779529.0,-0.00011245
1774462500000.0,0.09611,0.09631,0.09611,0.0962,11559642.0,1749779529.0,-0.00011245
1774462800000.0,0.09621,0.09655,0.0962,0.09651,16351011.0,1749779529.0,-0.00011245
1774463100000.0,0.0965,0.09652,0.0963,0.09636,8957467.0,1749779529.0,-0.00011245
1774463400000.0,0.09636,0.09644,0.09627,0.09636,9939794.0,1749779529.0,-0.00011245
1774463700000.0,0.09636,0.09638,0.09623,0.09626,8073682.0,1749779529.0,-0.00011245
1774464000000.0,0.09626,0.09626,0.09612,0.09622,6902964.0,1749779529.0,-0.00011245
1774464300000.0,0.09621,0.0963,0.09618,0.09625,6049490.0,1749779529.0,-0.00011245
1774464600000.0,0.09625,0.09637,0.0962,0.09637,3583271.0,1749779529.0,-0.00011245
1774464900000.0,0.09636,0.09637,0.09594,0.09614,16144772.0,1749779529.0,-0.00011245
1774465200000.0,0.09615,0.09626,0.09597,0.09626,10963318.0,1749779529.0,-0.00011245
1774465500000.0,0.09626,0.09629,0.09614,0.09616,6373199.0,1749779529.0,-0.00011245
1774465800000.0,0.09616,0.09632,0.09607,0.09629,6489530.0,1749779529.0,-0.00011245
1774466100000.0,0.09629,0.09632,0.09622,0.09623,4381231.0,1749779529.0,-0.00011245
1774466400000.0,0.09623,0.09641,0.09621,0.09634,4389849.0,1749779529.0,-0.00011245
1774466700000.0,0.09635,0.09638,0.09625,0.0963,3822903.0,1749779529.0,-0.00011245
1774467000000.0,0.0963,0.09636,0.09618,0.09633,16858409.0,1749779529.0,-0.00011245
1774467300000.0,0.09633,0.09642,0.09619,0.09639,6851549.0,1749779529.0,-0.00011245
1774467600000.0,0.09639,0.09648,0.0963,0.09632,5358400.0,1749779529.0,-0.00011245
