time,open,high,low,close,volume,oi,funding
1774460700000.0,0.9592,0.9606,0.9588,0.9597,194485.7,90025225.5,-0.00014421
1774461000000.0,0.9598,0.9603,0.9575,0.9575,381111.8,90025225.5,-0.00014421
1774461300000.0,0.9574,0.9593,0.9569,0.9585,270463.2,90025225.5,-0.00014421
1774461600000.0,0.9585,0.9607,0.9585,0.9605,349420.8,90025225.5,-0.00014421
1774461900000.0,0.9604,0.9619,0.9596,0.9604,372156.6,90025225.5,-0.00014421
1774462200000.0,0.9605,0.9627,0.9604,0.9627,248172.2,90025225.5,-0.00014421
1774462500000.0,0.9627,0.9652,0.9627,0.9638,576228.7,90025225.5,-0.00014421
1774462800000.0,0.9639,0.9663,0.9639,0.9641,353420.2,90025225.5,-0.00014421
1774463100000.0,0.9642,0.9646,0.9633,0.9634,188589.5,90025225.5,-0.00014421
1774463400000.0,0.9633,0.9641,0.9624,0.9634,243024.6,90025225.5,-0.00014421
1774463700000.0,0.9635,0.9637,0.9627,0.9634,134542.6,90025225.5,-0.00014421
1774464000000.0,0.9634,0.9635,0.9619,0.9623,469111.0,90025225.5,-0.00014421
1774464300000.0,0.9623,0.9636,0.9621,0.9629,247312.3,90025225.5,-0.00014421
1774464600000.0,0.9628,0.9639,0.9626,0.9638,122902.9,90025225.5,-0.00014421
1774464900000.0,0.9637,0.9637,0.9588,0.9611,469509.2,90025225.5,-0.00014421
1774465200000.0,0.961,0.9642,0.96,0.9642,409260.9,90025225.5,-0.00014421
1774465500000.0,0.9643,0.9643,0.9628,0.9631,186681.4,90025225.5,-0.00014421
1774465800000.0,0.9632,0.965,0.9618,0.9645,290827.8,90025225.5,-0.00014421
1774466100000.0,0.9645,0.9648,0.9635,0.9646,192594.5,90025225.5,-0.00014421
1774466400000.0,0.9646,0.9662,0.9645,0.9655,246044.2,90025225.5,-0.00014421
1774466700000.0,0.9656,0.9666,0.9652,0.9666,187766.2,90025225.5,-0.00014421
1774467000000.0,0.9665,0.9673,0.9649,0.9659,533526.7,90025225.5,-0.00014421
1774467300000.0,0.966,0.9671,0.9639,0.9665,242178.3,90025225.5,-0.00014421
1774467600000.0,0.9665,0.9673,0.9649,0.9652,250314.9,90025225.5,-0.00014421
1774467900000.0,0.9652,0.966,0.9647,0.9656,123909.7,90025225.5,-0.00014421
1774468200000.0,0.9657,0.9668,0.9655,0.9657,150846.5,90025225.5,-0.00014421
1774468500000.0,0.9658,0.9662,0.9636,0.9662,307274.5,90025225.5,-0.00014421
1774468800000.0,0.9661,0.9664,0.9642,0.9645,325125.8,90025225.5,-0.00014421
1774469100000.0,0.9646,0.9648,0.9629,0.9631,416230.4,90025225.5,-0.00014421
1774469400000.0,0.963,0.9638,0.9626,0.9634,281286.3,90025225.5,-0.00014421
