time,open,high,low,close,volume,oi,funding
1774460700000.0,2164.43,2166.92,2163.22,2164.14,5039.525,2159626.205,-4.981e-05
1774461000000.0,2164.14,2165.38,2160.23,2160.58,10457.866,2159626.205,-4.981e-05
1774461300000.0,2160.58,2165.38,2159.19,2163.09,12362.62,2159626.205,-4.981e-05
1774461600000.0,2163.08,2165.26,2162.0,2165.01,7425.718,2159626.205,-4.981e-05
1774461900000.0,2165.01,2168.63,2164.5,2165.22,11305.51,2159626.205,-4.981e-05
1774462200000.0,2165.22,2168.67,2164.8,2167.65,9989.099,2159626.205,-4.981e-05
1774462500000.0,2167.64,2171.58,2167.6,2168.85,12418.886,2159626.205,-4.981e-05
1774462800000.0,2168.86,2172.72,2168.85,2171.25,8749.074,2159626.205,-4.981e-05
1774463100000.0,2171.24,2171.97,2167.32,2168.48,7065.215,2159626.205,-4.981e-05
1774463400000.0,2168.49,2170.0,2166.47,2167.4,5159.082,2159626.205,-4.981e-05
1774463700000.0,2167.41,2168.18,2164.45,2165.53,3728.362,2159626.205,-4.981e-05
1774464000000.0,2165.53,2166.0,2162.23,2163.32,7254.126,2159626.205,-4.981e-05
1774464300000.0,2163.31,2165.4,2163.0,2164.55,3927.858,2159626.205,-4.981e-05
1774464600000.0,2164.56,2167.35,2164.23,2167.18,3175.54,2159626.205,-4.981e-05
1774464900000.0,2167.17,2167.18,2156.46,2161.5,19281.619,2159626.205,-4.981e-05
1774465200000.0,2161.5,2169.28,2158.57,2168.16,25843.042,2159626.205,-4.981e-05
1774465500000.0,2168.17,2168.88,2164.33,2165.34,8000.931,2159626.205,-4.981e-05
1774465800000.0,2165.34,2168.85,2162.79,2168.44,17851.496,2159626.205,-4.981e-05
1774466100000.0,2168.45,2169.84,2167.71,2169.31,7594.161,2159626.205,-4.981e-05
1774466400000.0,2169.31,2172.6,2168.28,2170.53,10334.739,2159626.205,-4.981e-05
1774466700000.0,2170.53,2170.82,2167.57,2169.93,4361.57,2159626.205,-4.981e-05
1774467000000.0,2169.92,2170.9,2168.63,2170.68,2846.431,2159626.205,-4.981e-05
1774467300000.0,2170.69,2174.36,2168.27,2173.95,6421.668,2159626.205,-4.981e-05
1774467600000.0,2173.94,2176.33,2170.23,2170.87,8744.972,2159626.205,-4.981e-05
1774467900000.0,2170.88,2171.28,2168.69,2170.78,3849.398,2159626.205,-4.981e-05
1774468200000.0,2170.78,2173.71,2170.2,2171.04,4343.389,2159626.205,-4.981e-05
1774468500000.0,2171.05,2171.73,2166.68,2171.73,7162.017,2159626.205,-4.981e-05
1774468800000.0,2171.73,2172.1,2166.07,2166.07,4447.247,2159626.205,-4.981e-05
1774469100000.0,2166.08,2167.0,2164.7,2164.87,6717.669,2159626.205,-4.981e-05
